"language","lambda","m2logL_pois","K_pois","AIC_pois","q","m2logL_geom","K_geom","AIC_geom","gamma_zeta2","m2logL_zeta2","K_zeta2","AIC_zeta2","gamma_zeta","m2logL_zeta","K_zeta","AIC_zeta","gamma_trunc_zeta","kmax_trunc_zeta","m2logL_trunc_zeta","K_trunc_zeta","AIC_trunc_zeta","min_AIC_value","min_AIC_variable","AIC_dIfference_pois","AIC_dIfference_geom","AIC_dIfference_zeta2","AIC_dIfference_zeta","AIC_dIfference_trunc_zeta","AIC_difference_altmann","gamma_altmann","delta_altmann","m2logL_altmann","K_altmann","AIC_altmann"
"Arabic","3.21667348923429","302182.777140214","1","302184.777330121","0.298417600475995","86050.4715590576","1","86052.471748964","2","31019.4014446019","0","62038.8028892037","2.10411304817557","61864.4310340677","1","61866.4312239741","2.10277299607877","2249","61859.5267763908","2","61863.5273461372","61863.5273461372","AIC_trunc_zeta","240321.249983983","24188.9444028268","175.275543066462","2.90387783689221","0","79512222.4516713","0.1","1e-07","79574081.9784477","2","79574085.9790174"
"Basque","1.83086801903485","77495.0470412028","1","77497.0473783004","0.458648941103725","35694.5680527975","1","35696.5683898951","2","14088.9318207543","0","28177.8636415085","2.35800465424211","27330.6901200224","1","27332.69045712","2.35656692386926","576","27328.4596287067","2","27332.4606400847","27332.4606400847","AIC_trunc_zeta","50164.5867382157","8364.10774981039","845.403001423794","0.229817035291489","0","23602412.1240562","0.1","1e-07","23629740.5836849","2","23629744.5846963"
"Catalan","5.72655106819873","1040688.21921821","1","1040690.21933082","0.174056199318945","188689.866810068","1","188691.866922674","2","63518.0180732556","0","127036.036146511","1.92221775175749","126822.088336951","1","126824.088449557","1.92027977801505","5522","126806.134432055","2","126810.134769884","126810.134769884","AIC_trunc_zeta","913880.084560934","61881.7321527905","225.901376627371","13.9536796730536","0","239545657.978456","0.1","1e-07","239672464.112888","2","239672468.113226"
"Chinese","5.17291407887337","750769.36411295","1","750771.364225433","0.192218925156611","181099.782595871","1","181101.782708353","2","66463.4749662937","0","132926.949932587","1.88559396327813","132435.652419472","1","132437.652531955","1.8836719546306","7645","132418.964015641","2","132422.964353099","132422.964353099","AIC_trunc_zeta","618348.399872334","48678.8183552545","503.985579488479","14.6881788556348","0","240095108.250421","0.1","1e-07","240227527.214436","2","240227531.214774"
"Czech","3.89102895982385","1145492.45299732","1","1145494.45305792","0.25175235872442","295914.130811494","1","295916.130872089","2","102482.011978096","0","204964.023956192","2.05087284921175","204823.588570886","1","204825.588631481","2.04994879762881","4727","204812.741578469","2","204816.741760257","204816.741760257","AIC_trunc_zeta","940677.711297663","91099.3891118319","147.282195935055","8.84687122414471","0","882765609.488742","0.1","1e-07","882970422.23032","2","882970426.230502"
"English","6.85002961738133","860036.260809453","1","860038.26094658","0.14583010482851","166196.970161432","1","166198.970298559","2","60963.2264394036","0","121926.452878807","1.79984296820445","120499.836361571","1","120501.836498698","1.79478026111887","4547","120452.796377034","2","120456.79678843","120456.79678843","AIC_trunc_zeta","739581.46415815","45742.1735101293","1469.65609037726","45.0397102682327","0","158099045.244519","0.1","1e-07","158219498.040896","2","158219502.041308"
"Greek","3.40716435225015","193410.069968385","1","193412.070283296","0.283774124374553","53406.66623463","1","53408.666549541","2","18219.4687677159","0","36438.9375354317","2.13193030420757","36276.258294795","1","36278.258609706","2.12957295515737","1081","36270.8364851252","2","36274.8374299327","36274.8374299327","AIC_trunc_zeta","157137.232853363","17133.8291196083","164.100105499005","3.42117977325688","0","27260982.5848812","0.1","1e-07","27297253.4213663","2","27297257.4223111"
"Hungarian","2.93266630079124","549608.716707484","1","549610.716823098","0.322827445931068","134826.143928592","1","134828.144044206","2","41789.4011030632","0","83578.8022061264","2.33514117111108","81356.5191942737","1","81358.5193098874","2.33505599169561","6540","81356.2241774909","2","81360.2245243418","81358.5193098874","AIC_zeta","468252.197513211","53469.6247343182","2220.28289623902","0","1.70521445442864","226641347.571081","0.1","1e-07","226722702.090044","2","226722706.090391"
"Italian","4.16484209640328","285081.341869288","1","285083.342167106","0.236375794048813","62155.7241730033","1","62157.7244708218","2","19699.0988115479","0","39398.1976230958","2.10841876510083","39278.3147873845","1","39280.315085203","2.10732182194351","2678","39275.8284848116","2","39279.8293783336","39279.8293783336","AIC_trunc_zeta","245803.512788773","22877.8950924882","118.368244762285","0.485706869403657","0","30683262.9179296","0.1","1e-07","30722538.7464144","2","30722542.7473079"
"Turkish","1.99957702133235","233278.081763379","1","233280.081959448","0.432395201966685","64548.4006867636","1","64550.4008828324","2","21337.7579174901","0","42675.5158349801","2.54334391992424","39933.0499475105","1","39935.0501435793","2.54332686295493","6704","39933.0251386896","2","39937.0257269249","39935.0501435793","AIC_zeta","193345.031815869","24615.3507392531","2740.46569140084","0","1.97558334558562","74341924.1184425","0.1","1e-07","74381855.1679979","2","74381859.1685861"
