21531 68742
! (
! )
! دَعْوَةُ
( )
( -
( .
( 1.12
( 10
( 11
( 110
( 12
( 120
( 120.5
( 13
( 130
( 14
( 140
( 15
( 153
( 160
( 17
( 18
( 187
( 19
( 1924
( 1939
( 1967
( 1975
( 1986
( 1988
( 1996
( 2,41
( 2,6
( 20
( 200
( 21
( 215.30
( 22
( 227
( 24
( 25
( 250
( 26
( 27
( 3
( 3,6
( 3.66
( 30
( 31
( 33
( 3300
( 35
( 350
( 4
( 4,4
( 43
( 440
( 45
( 49
( 5,1
( 5,2
( 5.6
( 50
( 536.5
( 55
( 55120
( 57
( 585
( 6,1
( 600
( 61
( 66
( 66.66
( 68
( 7
( 7,1
( 7,29
( 70
( 739
( 770
( 785.3
( 8,126
( 800
( 870.4
( 9
( 9.475
( 90
( ،
( آب
( آبَ
( آذار
( آذارَ
( آي
( آيار
( أيه
( أَبْرِيلَ
( أَحْداثُ
( أَحْداثِ
( أَصْدِقاؤُ
( أَصْلِ
( أَعْضاء
( أَغُسْطُس
( أَغُسْطُسِ
( أَكْثَرِ
( أَلْتايْسك
( أَلْمانِيا
( أَمِيرْكا
( أَمْسِ
( أَنْدرِيُوتِي
( أَو
( أَوَّلِ
( أَي
( أَيّارِ
( أَيْ
( أَيْلُول
( أَيْلُولَ
( أُكْتُوبَر
( أُنْشِئَت
( أُو
( أُوبِك
( أُوزبَكِسْتان
( إِصْدارِ
( إِصْلاحِيٌّ
( إِقْرارِ
( إِلَى
( إِنَّ
( إِنْفاق
( إِيغاد
( ابيكورب
( الأَيْدز
( الأُمَمُ
( الأُوتُوستراد
( الاسيان
( الاِسْتِخْباراتِ
( الاِسْتِقْرارَ
( البسيج
( البَرْلَمانِ
( التَسْمِيَةُ
( التَمِيمِيّ
( الثَقافَةُ
( الجِهَةُ
( الحالِيِّ
( الحَيِّ
( الدِينُ
( الرَئِيسَ
( السائِقُ
( السارس
( الساعَةِ
( السَيِّدُ
( السُهَيْل
( السُورِيَّةُ
( السُورِيُّونَ
( الشَرِكَةَ
( الشَعْبِيِّ
( الصُومالُ
( الصِينِ
( العالَمِ
( العامِ
( العِراقِيُّونَ
( القانُونُ
( القَرارِ
( الكُونْكاكاف
( الكُوَيْتِيِّ
( الماضِي
( المَسِيح
( المُتَوَسِّطِ
( المُحافَظاتِ
( المُحامِينَ
( المُخابَراتِ
( المُقْبِلِ
( المُنَظَّمَةِ
( المُوَظَّفُونَ
( المِنْطَقَةُ
( النَوَوِيَّةِ
( النِيابَةُ
( الهَيْئَةِ
( الوِلاياتُ
( اليَوْمِ
( اليُونانِيَّةُ
( الَّذِي
( انفست
( اِتِّحادِ
( اِسْتَقْبَلَ
( اِسْتِقْبالَ
( اِنْتِخاباتِ
( بالِيرْمُو
( برِيزْبان
( بَدَأَت
( بَغْدادُ
( بَلَغَ
( بَلَغَت
( بَيْنَ
( بُوتاغاز
( بُودْغُورِيتشا
( بِ
( بِيتش
( تشركاسي
( تشيركاسي
( تك
( تَبْلُغُ
( تَتَجاوَزُ
( تَجاوَزَت
( تَجَمُّعٍ
( تَسْلِيمِ
( تَفَشِّي
( تَمُّوزَ
( تُعَدُّ
( تِشْرِين
