20409 45625
! .
! :
! Aman
! Bana_ne
! Başkanı
! Biliyorum
! Ceza
! Durun
! Ederim
! Efendi
! Erkekler_Parkı
! Giir
! Gitmeyin
! Hadi
! Hayal
! Hayır
! Mersedes
! Ne
! Otur
! Oysa
! Sen
! Tamam
! Uy
! Uzat
! Vay_anam_vay
! Yanlış
! _
! aldattın
! anlamıyorsun
! açma
! bacağısın
! bende
! bilemiyorum
! bilir
! bir_şey
! buydu
! cesaret_edersin
! damlıyordu
! dedi
! dedim
! derim
! desek
! değiştirebilir
! dikkat_ediniz
! diye
! duruyordun
! emmioğlu
! evde_kaldım
! geçiyor
! girdik
! git
! gördüler
! görüşürüz
! güzel
! hakkı_vardır
! hazırsın
! hissedemezler
! işte
! kadın
! kaldır
! kalk
! kapa
! karı
! karıştırıyordu
! korkması
! korkusu
! koruyacağım
! koş
! kulaklı
! kız
! laf
! limon
! makinem
! nedenle
! olabilir
! olmaz
! olsun
! oluyorum
! otur
! reddedilirsem
! sanıyorum
! sevdim
! sevsinler
! silmem
! sonra
! söyler
! tamam
! uğramış
! var
! vereceksin
! vermiş
! versin
! vız_gelir
! ya
! yaklaştı
! yapamam
! yapıyorlar
! yazmak
! yer_yok
! yok
! çalışıyordu
! çalışıyordum
! çirkinmiş
! çocuğu
! çırpınma
! önerseydin
! İyi
! Şangır
! Şostakoviç'miş
! şey
! şeydi
. ,
. -
. :
. ;
. ?
. ABD
. ARADI
. Aldırma
. Allah_taş_etsin
. Alman
. Ama
. Ancak
. Anlamadım
. Anlar
. Anlarız
. Anlatamadım
. Anlattım
. Anlattın
. Anlatılmalı
. Anlatın
. Anlatırım
. Anlaştık
. Arada
. Ardından
. Arkadaşlar
. Artık
. Aslında
. At_at
. Attım
. Ayaklandı
. Ayhan
. Ayhan'dı
. Ayhen
. Ayrıca
. Ayırmayalım
. Aç
. Açılıyor
. BEKLİYORLARDI
. Bak
. Baklavası'dır
. Baksanıza
. Bakın
. Bakınız
. Bakırköy'de
. Bakıştık
. Balabanı
. Bartın'daydım
. Bayan
. Bayat_mayat
. Bağışlayın
. Başkanı
. Başsavcısı
. Becerdi
. Bekleyelim
. Belki
. Belli
. Belli_ki
. Ben
. Benzemiyor
. Bilerek
. Biliyor
. Biliyordum
. Biliyorsun
. Biliyorum
. Bilmiyorum
. Bir
. Bir_de
. Bir_kere
. Birdenbire
. Birinci_Ada
. Bismillah
. Boşver
. Bu
. Bulabilirler
. Buldum
. Buyur_etti
. Buyurun
. Böylece
. Bıktırırlar
. Bırak
. Bırakamazsınız
. Casino_Venüs'teydim
. Cimriymiş
. Dalgındım
. Dedi
. Dedik
. Demedik
. Demek
. Demiray
. Destek_olun
. Değil
. Değilim
. Dibimizdeydin
. Dikkat
. Dinlenin
. Dinleniyorum
. Diğer_taraftan
. Dolayısıyla
. Dolgun
. Doğru.
. Doğrudur
. Doğrusu
. Durdu
. Duymuyorlardı
. Döndüm
. Düştü
. Düşünmezsin
. Düşünüyor
. Düşünüyordum
. Eee
. Elektrik_İşleri_Etüd_İdaresi
. Eline_sağlık
. Erkendi
. Erol
. Esasen
. Evdedir
. Evenler
. Evet
. Evlenmemiş
. Evleri
