,original_num_nodes,original_num_edges,original_average_degree,original_density_of_edges,final_num_nodes,final_num_edges,final_average_degree,final_density_of_edges,loops_removed,clustering_coefficient
Arabic,21532.0,68767.0,6.387423369868103,0.0002966617142663185,21531.0,68742.0,6.385397798523059,0.00029658141191467996,25.0,0.18849068408750458
Basque,12207.0,25558.0,4.187433439829606,0.00034306352939780484,12207.0,25541.0,4.184648152699271,0.0003428353393985967,17.0,0.046710614598139605
Catalan,36865.0,197318.0,10.704896243048962,0.00029038889548201394,36865.0,197075.0,10.69171300691713,0.0002900312773143753,243.0,0.22105653973858583
Chinese,40298.0,181081.0,8.987096133803167,0.00022302146893821292,40297.0,180924.0,8.979527011936373,0.00022283916547390244,157.0,0.17079936535259285
Czech,69303.0,257295.0,7.425219687459418,0.00010714293508786784,69303.0,257254.0,7.424036477497367,0.00010712586184377603,41.0,0.12171408366744402
English,29634.0,193186.0,13.038131875548357,0.0004399869022896216,29634.0,193078.0,13.030842950664777,0.0004397409290542563,108.0,0.23528079618353734
Greek,13283.0,43974.0,6.6210946322366935,0.0004985013275287377,13283.0,43961.0,6.619137243092675,0.0004983539559624059,13.0,0.1337727004997914
Hungarian,36126.0,106716.0,5.907988706194984,0.000163542939963875,36126.0,106681.0,5.906051043569728,0.00016348930224414473,35.0,0.05084718790539494
Italian,14726.0,56042.0,7.611299741953008,0.0005168964171105608,14726.0,55954.0,7.599348091810404,0.0005160847600550359,88.0,0.14370571482572284
Turkish,20409.0,45642.0,4.472732617962664,0.00021916565160538335,20409.0,45625.0,4.471066686265863,0.0002190840202991897,17.0,0.22358509481469432
