"vertices" "degree_2nd_moment" "mean_length"
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1.5
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1.5
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1.5
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1.5
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1
4 3 1.33333
4 3 1.33333
4 2.5 1.33333
4 2.5 1
4 2.5 1
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1
4 2.5 1
4 2.5 1
4 2.5 1
4 2.5 1
4 3 1.33333
4 3 1.33333
4 2.5 1
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1
4 2.5 1
4 2.5 1
4 3 1.33333
4 2.5 1
4 2.5 1
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 2
4 2.5 1.33333
4 3 1.33333
4 2.5 1
4 2.5 1
4 3 1.33333
4 3 1.33333
4 2.5 1
4 2.5 1
4 3 1.33333
4 2.5 1
4 2.5 1
4 3 1.33333
4 2.5 1
4 3 1.33333
4 3 1.33333
4 2.5 1.33333
4 3 1.33333
4 2.5 1.33333
4 2.5 1
4 2.5 1
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 2
4 2.5 1
4 3 1.33333
4 2.5 1.33333
4 2.5 1
4 2.5 1
4 3 1.33333
4 3 1.33333
4 2.5 1.33333
4 2.5 1.33333
4 2.5 1
4 3 1.33333
4 2.5 1.33333
4 2.5 1
4 2.5 1
4 3 1.33333
4 2.5 1.33333
4 2.5 1.33333
4 2.5 1
4 3 1.33333
4 2.5 1
4 2.5 1
4 3 1.33333
4 3 1.33333
4 2.5 1
4 2.5 1
4 3 1.33333
4 2.5 1
4 3 1.33333
4 2.5 1
4 3 1.33333
4 3 1.33333
4 2.5 1.33333
4 2.5 1.33333
4 2.5 1
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1
4 2.5 1.33333
4 2.5 1
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1
4 2.5 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1.33333
4 2.5 1
4 3 1.33333
4 3 2
4 2.5 1
4 3 1.33333
4 2.5 1
4 2.5 1
4 3 1.33333
4 2.5 1
4 2.5 1.33333
4 2.5 1
4 2.5 1
4 3 1.33333
4 3 2
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1
4 2.5 1.33333
4 2.5 1
4 3 1.33333
4 3 1.33333
4 2.5 1
4 2.5 1
4 2.5 1
5 2.8 1
5 2.8 1
5 3.2 1.25
5 3.2 1.25
5 3.2 1.25
5 3.2 1.25
5 3.2 1.5
5 3.2 1.5
5 3.2 1.25
5 3.2 1.5
5 3.2 1.25
5 4 1.75
5 4 1.75
5 4 1.75
5 3.2 1.5
5 4 1.75
5 3.2 1.5
5 3.2 1.25
5 4 1.75
5 2.8 1
5 2.8 1
5 3.2 1.5
5 3.2 1.25
5 3.2 1.5
5 3.2 1.25
5 4 1.75
5 3.2 1.25
5 4 1.75
5 2.8 1.5
5 3.2 1.5
5 3.2 1.5
5 3.2 1.5
5 3.2 1.5
5 2.8 1
5 3.2 1.5
5 4 1.75
5 3.2 1.25
5 2.8 1
5 3.2 1.5
5 2.8 1.25
5 3.2 2
5 3.2 1.5
5 2.8 1
5 3.2 1.5
5 3.2 1.5
5 2.8 1.25
5 2.8 1
5 3.2 1.5
5 3.2 1.5
5 2.8 1
5 3.2 1.5
5 3.2 1.5
5 3.2 1.5
5 3.2 1.25
5 2.8 1
5 3.2 1.5
5 3.2 1.25
5 4 1.75
5 3.2 1.5
5 3.2 1.25
5 3.2 1.25
5 2.8 1
5 3.2 1.5
5 2.8 1
5 3.2 1.25
5 3.2 1.5
5 3.2 1.25
5 2.8 1.75
5 4 1.75
5 4 1.75
5 4 1.75
5 3.2 1.5
5 4 1.75
5 3.2 1.25
5 2.8 1
5 3.2 1.25
5 4 1.75
5 3.2 1.25
5 3.2 1.25
5 2.8 1
5 3.2 1.25
5 2.8 1
5 3.2 1.25
5 3.2 1.5
5 3.2 1.5
5 4 1.75
5 2.8 1
5 3.2 1.25
5 3.2 1.25
5 3.2 1.25
5 2.8 1
5 2.8 1
5 3.2 1.5
5 2.8 1
5 3.2 1.5
5 2.8 1
5 2.8 1
5 4 1.75
5 4 1.75
5 3.2 1.25
5 3.2 1.5
5 4 1.75
5 4 1.75
5 2.8 1.25
5 3.2 1.25
5 3.2 2
5 2.8 1
5 3.2 1.25
5 4 1.75
5 3.2 1.75
5 3.2 1.75
5 3.2 2
5 3.2 1.25
5 2.8 1
5 4 1.75
5 3.2 1.5
5 2.8 1
5 2.8 1.25
5 4 1.75
5 3.2 1.25
5 4 1.75
5 4 1.75
5 3.2 1.25
5 3.2 1.25
5 3.2 1.25
5 3.2 1.5
5 3.2 1.25
5 4 1.75
5 3.2 1.5
5 3.2 1.25
5 3.2 1.5
5 3.2 1.25
5 4 1.75
5 3.2 1.25
5 4 1.75
5 4 1.75
5 4 1.75
5 3.2 1.5
5 3.2 1.5
5 3.2 1.25
5 3.2 1.25
5 4 1.75
5 3.2 1.25
5 3.2 1.25
5 3.2 1.25
5 3.2 1.25
5 4 1.75
5 3.2 1.25
5 3.2 1.5
5 3.2 1.25
5 3.2 2.25
5 2.8 1
5 3.2 1.5
5 3.2 1.25
5 3.2 1.25
5 3.2 1.25
5 4 1.75
5 2.8 1
5 4 1.75
6 4 1.6
6 3.66667 1.8
6 4 1.6
6 3.33333 1.2
6 4 1.6
6 3.33333 1.4
6 4 1.6
6 3.33333 1.4
6 3.33333 1.2
6 3.66667 1.4
6 3.33333 1.2
6 4 2
6 3.66667 1.8
6 3.33333 1.2
6 3.33333 1.2
6 3.33333 1.2
6 3 1
6 3.33333 1.4
6 5 2.2
6 3.33333 1.2
6 3.33333 1.4
6 3.33333 1.6
6 3.33333 1.4
6 4 1.6
6 3 1
6 3.33333 1.6
6 4 1.6
6 3.33333 1.4
6 3.33333 1.4
6 4 2
6 3.33333 1.4
6 4 1.6
6 3.33333 1.6
6 3.33333 1.6
6 3.66667 1.4
6 4 1.6
6 3.33333 1.2
6 3.33333 1.4
6 4 1.6
6 4 1.6
6 3.33333 1.2
6 3.66667 1.8
6 3.33333 1.4
6 3.66667 1.4
6 4 1.6
6 3.33333 1.4
6 4 2
6 3.66667 1.4
6 3.66667 1.4
6 3.33333 1.2
6 3.33333 1.4
6 3.33333 1.2
6 3.33333 1.4
6 3 1
6 3.33333 1.4
6 3.66667 1.4
6 3.33333 1.2
6 3.33333 1.6
6 3.33333 1.6
6 3.33333 1.4
6 3.33333 1.6
6 3.66667 1.4
6 3.33333 1.2
6 5 2.2
6 3.33333 1.4
6 3.33333 1.4
6 3.66667 1.4
6 4 2
6 3.33333 1.4
6 3 1.2
6 4 1.6
6 4 1.6
6 4 1.6
6 3.33333 1.4
6 3.33333 1.2
6 3.33333 1.4
6 3.33333 1.2
6 3.33333 1.2
6 3.33333 1.2
6 3.33333 1.2
6 3.66667 1.4
6 4 1.6
6 3.33333 1.4
6 4 2
6 4 2
6 3.33333 1.2
6 4 1.6
6 4 1.6
6 3.33333 1.4
6 3.33333 1.4
6 3.66667 1.4
6 3.33333 1.6
6 4 2
6 4 1.6
6 3.66667 1.8
6 4 1.6
6 3 1
6 3.33333 1.2
6 4 1.8
6 4 1.6
6 3 1
6 3.33333 1.6
6 3 1
6 4 1.6
6 3.33333 1.2
6 3.33333 1.2
6 3.33333 1.2
6 4 1.8
6 3.66667 1.4
6 3.66667 1.4
6 3.33333 1.2
6 3.33333 1.6
6 3 1
6 3.33333 1.2
6 5 2.2
6 3.33333 1.2
6 4 1.8
6 3.33333 1.6
6 3 1
6 3.66667 1.8
6 3.33333 1.2
6 4 1.6
6 3.33333 1.4
6 4 1.8
6 3.66667 1.4
6 3.33333 1.2
6 3.33333 1.2
6 3.33333 1.2
6 3 1.2
6 3.33333 1.2
6 5 2.2
6 3.33333 1.6
6 3.33333 1.4
6 3.33333 1.2
6 3.66667 1.4
6 3 1.4
6 4 1.6
6 5 2.2
6 3.33333 1.4
6 4 2
6 4 1.6
6 3.66667 1.8
6 3.33333 1.2
6 3.33333 1.2
6 4 1.8
6 3.33333 1.2
6 5 2.2
6 3.66667 1.4
6 4 1.6
6 3.33333 1.2
6 3.33333 1.6
6 3.66667 1.4
6 3.33333 1.6
6 3.66667 1.8
6 3.33333 1.2
6 3.33333 1.4
6 4 1.6
6 4 1.6
6 4 1.6
6 4 1.6
6 3.33333 1.4
6 4 1.8
6 5 2.2
6 4 1.6
6 3.33333 1.6
6 4 2
6 4 1.6
6 3.33333 1.2
6 4 1.6
6 3.33333 1.2
6 3.33333 1.2
6 3.33333 1.4
6 3.33333 1.4
6 3.66667 1.4
6 4 2
6 3 1
6 3.33333 1.6
6 4 1.8
6 3.33333 1.6
6 3.33333 1.4
6 3.33333 1.2
6 3.33333 1.4
6 3.33333 1.2
