"vertices" "degree_2nd_moment" "mean_length"
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1.5
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
4 2.5 1
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1
4 3 1.33333
4 3 1.33333
4 2.5 1.66667
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1
4 2.5 1
4 2.5 1
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1
4 2.5 1.66667
4 2.5 1
4 2.5 1.66667
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 2
4 3 1.33333
4 2.5 1
4 3 1.33333
4 3 1.33333
4 2.5 1.66667
4 2.5 1.66667
4 2.5 1.66667
4 3 1.33333
4 3 1.33333
4 2.5 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 2
4 3 1.33333
4 3 1.33333
4 2.5 1.33333
4 2.5 1.66667
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1.33333
4 3 1.33333
4 3 2
4 3 2
4 3 1.33333
4 3 2
4 2.5 1.66667
4 2.5 1.66667
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1
4 2.5 1
4 3 1.33333
4 2.5 1.66667
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1
4 3 1.33333
4 2.5 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1.66667
4 2.5 1.66667
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 2
4 2.5 1.33333
4 3 1.33333
4 2.5 1
4 3 1.33333
4 3 1.33333
4 2.5 1.66667
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1
4 2.5 1
4 2.5 1
4 3 1.33333
4 2.5 1.66667
4 3 1.33333
4 2.5 1
4 3 1.33333
5 3.2 1.25
5 4 1.75
5 3.2 1.25
5 4 1.75
5 3.2 1.5
5 4 1.75
5 3.2 1.5
5 3.2 1.5
5 4 1.75
5 4 1.75
5 4 1.75
5 3.2 1.25
5 3.2 2
5 4 1.75
5 4 1.75
5 3.2 1.25
5 3.2 1.5
5 3.2 1.5
5 3.2 1.5
5 2.8 1
5 3.2 2.25
5 4 1.75
5 3.2 1.5
5 4 1.75
5 3.2 2
5 3.2 1.25
5 3.2 1.5
5 3.2 1.25
5 3.2 1.5
5 4 1.75
5 3.2 1.25
5 4 1.75
5 3.2 1.5
5 4 1.75
5 2.8 1.75
5 3.2 1.25
5 4 1.75
5 4 1.75
5 3.2 1.25
5 4 1.75
5 2.8 1
5 2.8 1
5 2.8 1
5 4 1.75
5 4 1.75
5 4 1.75
5 4 1.75
5 3.2 1.25
5 4 1.75
5 4 1.75
5 3.2 1.25
5 3.2 1.5
5 3.2 2
5 4 1.75
5 3.2 1.25
5 4 1.75
5 4 1.75
5 4 1.75
5 3.2 1.25
5 3.2 1.5
5 3.2 1.5
5 3.2 1.5
5 3.2 1.25
5 4 1.75
5 3.2 1.25
5 2.8 1.25
5 3.2 1.25
5 3.2 1.25
5 4 1.75
5 3.2 1.25
5 3.2 1.5
5 4 1.75
5 4 1.75
5 4 2.5
5 3.2 2
5 3.2 1.5
5 3.2 1.5
5 3.2 1.25
5 4 1.75
5 3.2 1.25
5 3.2 2
5 4 1.75
5 2.8 1
5 2.8 1.75
5 2.8 1.75
5 4 1.75
5 3.2 1.5
5 3.2 1.25
5 4 1.75
5 4 1.75
5 4 1.75
5 4 1.75
5 4 1.75
5 4 1.75
5 4 1.75
5 4 1.75
5 3.2 1.5
5 3.2 1.5
5 3.2 1.5
5 4 1.75
5 3.2 1.25
5 3.2 1.5
5 3.2 1.25
5 4 1.75
5 4 1.75
5 4 1.75
5 3.2 2
5 3.2 1.25
5 3.2 1.25
5 4 1.75
5 3.2 1.5
5 3.2 1.5
5 4 1.75
5 3.2 1.25
5 4 1.75
5 3.2 2
5 3.2 1.25
5 4 1.75
5 4 1.75
5 4 2.5
5 3.2 1.5
5 2.8 1
5 4 1.75
5 3.2 1.5
5 3.2 1.5
5 3.2 1.5
5 4 1.75
5 3.2 1.25
5 4 1.75
5 4 1.75
5 4 1.75
5 3.2 1.5
5 3.2 1.25
5 4 2.5
5 3.2 1.25
5 3.2 1.25
5 4 1.75
5 3.2 1.25
5 4 1.75
5 4 1.75
5 4 1.75
5 3.2 1.25
5 3.2 1.5
5 4 1.75
5 3.2 1.5
5 3.2 1.5
5 4 1.75
5 3.2 1.5
5 3.2 1.5
5 2.8 1.75
5 3.2 1.25
5 4 1.75
5 4 1.75
6 4 1.6
6 4 1.8
6 5 2.2
6 3.33333 1.4
6 3.33333 2
6 4 2
6 5 2.2
6 3.33333 1.6
6 4 1.8
6 3.66667 2.2
6 3.66667 2.2
6 4 1.6
6 4 2.4
6 4 1.8
6 3.33333 1.6
6 4 1.6
6 5 2.2
6 4 1.8
6 3.33333 1.6
6 5 2.2
6 5 2.2
6 5 2.2
6 5 2.2
6 5 2.2
6 3.33333 1.2
6 4 1.8
6 3.33333 1.4
6 5 2.2
6 4 1.8
6 4 1.8
6 4 2.4
6 3.66667 1.4
6 4 1.8
6 3.33333 1.6
6 4 1.6
6 3.66667 1.8
6 4 2.4
6 4 1.6
6 4 1.6
6 3.33333 1.6
6 5 2.2
6 3.66667 1.8
6 3.66667 1.4
6 3.66667 1.8
6 4 1.8
6 3.66667 2.2
6 3.66667 1.4
6 3.33333 1.8
6 4 2
6 3.33333 1.4
6 4 1.8
6 4 1.6
6 4 2
6 4 1.8
6 4 2.6
6 4 1.8
6 3.66667 2.2
6 3.66667 2.2
6 3.33333 1.6
6 3.33333 1.6
6 3.66667 1.8
6 3.33333 1.6
6 5 2.2
6 3.33333 1.4
6 3.66667 1.4
6 3.33333 2
6 3.33333 1.4
6 3.33333 1.4
6 4 1.8
6 4 1.6
6 3.66667 1.4
6 4 2
6 5 2.2
6 4 2
6 4 1.8
6 3.66667 1.8
6 3.33333 1.4
6 4 1.6
6 3.66667 1.8
6 3.33333 1.4
6 3.33333 1.4
6 3.66667 1.8
6 3.33333 1.2
6 3.33333 1.6
6 4 1.8
6 4 1.8
6 4 1.8
6 3.33333 1.4
6 3.33333 1.4
6 4 1.8
6 3.33333 1.6
6 3.33333 2
6 5 2.2
6 3.33333 1.6
6 4 2
6 4 1.8
6 3.66667 1.8
6 3.66667 2.2
6 3.33333 1.6
6 3.33333 1.2
6 3.33333 1.4
6 3.33333 1.6
6 4 1.6
6 3.66667 1.8
6 3.33333 1.4
6 5 2.2
6 4 2.6
6 3 1
6 4 1.6
6 4 1.6
6 3.66667 1.8
6 4 2
6 3.33333 1.6
6 3.33333 1.6
6 3.66667 1.8
6 4 1.8
6 3.33333 1.4
6 4 2
6 4 1.8
6 3.66667 1.8
6 4 1.8
6 4 2
6 3.33333 1.4
6 4 1.6
6 3.33333 1.4
6 3.33333 1.6
6 3.33333 1.4
6 4 1.6
6 3.66667 1.4
6 3.66667 1.8
6 4 1.8
6 4 2
6 5 2.2
6 4 1.8
6 4 1.8
6 3.33333 1.4
6 5 2.2
6 4 1.8
6 5 2.2
6 3.33333 1.6
6 4 1.6
6 5 2.2
6 4 2.6
6 4 1.8
6 3.66667 2.2
6 3.66667 2.2
6 3.33333 1.6
6 3.33333 1.6
6 3.33333 2.2
6 3 1
6 3 1
6 3.33333 1.4
6 5 2.2
6 3.33333 1.8
6 3.66667 1.4
6 4 1.8
6 4 2
6 3.33333 2
6 3.33333 1.4
6 4 1.6
6 3.33333 1.6
6 3.66667 2.2
6 5 2.2
6 3.33333 1.4
6 3.33333 1.6
6 4 1.8
6 3.66667 2.2
6 3.66667 2.2
6 4 1.6
6 3.66667 1.8
6 3.66667 1.8
6 3.33333 1.6
6 3.66667 1.4
6 4 1.8
6 4 2
6 3.33333 1.6
6 3.66667 1.4
6 4 1.8
6 4 1.8
6 4 1.6
6 4 1.8
6 4 1.8
6 4 1.8
6 3.33333 1.6
6 4 2
6 3.33333 1.4
6 4 1.8
6 3.33333 1.4
6 4 1.6
6 3.33333 1.6
6 3.66667 1.8
6 3.33333 1.4
6 3.33333 1.4
6 4 1.8
6 3.33333 2
6 3.33333 1.6
6 4 1.8
6 3.33333 1.4
6 3.33333 1.4
6 3.33333 1.4
7 4.28571 2.33333
7 4 1.66667
7 4.85714 2.16667
7 4 2
7 3.71429 1.5
7 4 1.83333
7 3.71429 1.5
7 4 1.66667
7 3.42857 1.66667
7 3.71429 1.5
7 6 3.5
7 3.71429 1.83333
7 3.42857 1.66667
7 3.71429 1.66667
7 4 1.66667
7 4.85714 2.16667
7 3.42857 1.16667
7 4 2
7 4.85714 2.16667
7 4 2
7 3.71429 1.66667
7 3.71429 1.5
7 3.42857 1.5
7 3.71429 1.83333
7 6 2.66667
7 4.85714 2.16667
7 4.28571 2
7 4.28571 2
7 3.71429 1.5
7 3.42857 1.5
7 4.85714 2.16667
7 3.42857 1.5
7 3.42857 1.66667
7 4 1.66667
7 3.42857 1.5
7 4.28571 2
7 3.42857 1.5
7 4.28571 2.16667
7 4 2
7 4 2.33333
7 4.85714 2
7 4 1.83333
7 4 1.66667
7 4.85714 2.33333
7 3.42857 1.5
7 3.71429 1.5
7 4 2
7 4 1.66667
7 3.71429 1.5
7 3.42857 1.5
7 3.71429 1.5
7 3.71429 1.5
7 3.42857 1.5
7 4.85714 2.5
7 3.42857 1.5
7 3.42857 1.5
7 4.85714 2.33333
7 4.28571 1.66667
7 3.42857 1.5
7 4 2
7 3.71429 1.5
7 4 1.83333
7 3.71429 1.5
7 6 2.66667
7 3.71429 1.66667
7 3.42857 1.5
7 4 2.33333
7 4 1.66667
7 3.42857 1.5
7 4 1.66667
7 4 1.83333
7 4 2.16667
7 4 1.83333
7 3.42857 1.5
7 4 1.83333
7 4 2
7 4 2
7 4.28571 1.66667
7 4.28571 2.16667
7 6 2.66667
7 4 1.5
7 4.85714 2.33333
7 4 1.83333
