"vertices" "degree_2nd_moment" "mean_length"
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
4 2.5 1
4 3 2
4 2.5 1
4 2.5 1
4 3 2
4 3 1.33333
4 2.5 1
4 3 1.33333
4 2.5 1
4 3 1.33333
4 3 1.33333
4 2.5 1
4 2.5 1
4 3 1.33333
4 3 1.33333
4 2.5 1
4 3 1.33333
4 2.5 1
4 3 1.33333
4 2.5 1
4 2.5 1
4 3 1.33333
4 2.5 1
4 3 1.33333
4 2.5 1.66667
4 2.5 1
4 2.5 1
4 2.5 1
4 2.5 1
4 3 2
4 2.5 1
4 2.5 1
4 3 2
4 3 1.33333
4 2.5 1
4 3 1.33333
4 2.5 1
4 3 1.33333
4 3 1.33333
4 2.5 1
4 2.5 1.33333
4 2.5 1
4 2.5 1
4 2.5 1
4 2.5 1
4 2.5 1
4 3 1.33333
4 2.5 1
4 2.5 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1.33333
4 2.5 1
4 2.5 1.66667
4 2.5 1
4 2.5 1
5 2.8 1
5 3.2 1.25
5 4 1.75
5 3.2 1.25
5 3.2 1.25
5 3.2 1.25
5 3.2 1.25
5 3.2 1.25
5 2.8 1
5 3.2 1.5
5 3.2 1.25
5 3.2 1.5
5 2.8 1
5 3.2 1.25
5 3.2 1.25
5 3.2 1.5
5 3.2 1.25
5 3.2 1.25
5 3.2 1.25
5 3.2 1.25
5 4 1.75
5 4 1.75
5 2.8 1
5 2.8 1.25
5 3.2 1.25
5 3.2 1.25
5 2.8 1
5 3.2 1.25
5 3.2 1.25
5 3.2 1.25
5 3.2 1.5
5 3.2 1.25
5 3.2 1.25
5 2.8 1
5 3.2 1.25
5 3.2 1.25
5 3.2 1.25
5 3.2 1.25
5 3.2 1.25
5 4 1.75
5 3.2 1.5
5 3.2 1.25
5 3.2 1.25
6 3.33333 1.2
6 3.33333 1.2
6 3.33333 1.4
6 3.33333 1.2
6 3.33333 1.2
6 4 1.6
6 3.33333 1.2
6 3.33333 1.2
6 3.33333 1.2
6 5 2.2
6 4 1.8
6 3 1.4
6 3 1.4
6 3.33333 1.4
6 3.33333 1.2
6 3.66667 1.4
6 3.33333 1.2
6 3.33333 1.4
6 3.33333 1.6
6 3.33333 1.2
6 3.33333 1.2
6 3.66667 1.8
6 3.33333 1.2
6 3.66667 1.4
6 3.66667 1.4
6 3.66667 1.4
6 3.33333 1.2
6 4 1.6
6 3 1.4
6 3.66667 1.4
6 3.33333 1.4
6 3.33333 1.2
6 3 1
6 3.33333 1.2
6 4 1.8
6 4 1.6
6 3.66667 1.4
6 3.33333 1.2
6 3.33333 1.2
6 4 1.6
6 4 1.6
6 4 1.6
6 3.33333 1.2
6 3 1.4
6 3.33333 1.6
6 4 1.6
6 4 1.6
6 3.33333 1.2
6 3.33333 1.4
6 3.66667 1.4
6 3 1
6 4 1.6
6 3.66667 1.4
6 3.33333 1.2
7 4 1.83333
7 3.71429 1.66667
7 3.42857 1.16667
7 4.28571 1.66667
7 3.42857 1.66667
7 3.42857 1.16667
7 3.42857 1.16667
7 3.42857 1.66667
7 4.85714 2
7 4 1.5
7 4 1.66667
7 4 1.5
7 3.42857 1.16667
7 4 1.5
7 3.71429 1.5
7 3.42857 1.16667
7 3.42857 1.16667
7 3.42857 1.16667
7 4.28571 1.66667
7 6 2.66667
7 3.42857 2
7 3.71429 1.33333
7 3.71429 1.33333
7 4 1.66667
7 3.42857 1.83333
7 3.14286 1.5
7 3.42857 1.66667
7 3.71429 1.5
7 4.28571 1.66667
7 3.71429 1.5
7 3.71429 1.5
7 3.71429 1.33333
7 3.71429 1.33333
7 3.71429 1.33333
7 3.42857 1.16667
7 6 2.66667
7 3.42857 1.33333
7 3.14286 1
7 4.28571 1.66667
7 3.71429 1.66667
7 3.71429 1.33333
7 3.42857 1.16667
7 3.42857 1.5
7 4.28571 1.66667
7 3.42857 1.16667
7 4.28571 1.66667
7 3.42857 1.5
7 3.42857 1.16667
7 3.71429 1.33333
7 4 1.5
7 3.42857 1.66667
7 4 1.5
7 3.42857 1.16667
7 4.85714 2
7 3.42857 1.33333
7 3.42857 1.16667
7 3.71429 1.33333
7 3.42857 1.33333
7 4 1.66667
7 3.71429 1.33333
7 3.71429 1.5
8 4.25 1.57143
8 3.5 1.42857
8 3.75 1.57143
8 4.25 1.85714
8 3.75 1.28571
8 3.75 1.42857
8 3.5 1.14286
8 3.75 1.85714
8 3.75 1.71429
8 3.5 1.14286
8 4.25 1.57143
8 4 1.85714
8 4 1.42857
8 4.25 1.57143
8 4 1.42857
8 4.75 1.85714
8 4 1.42857
8 5.75 2.42857
8 4 2
8 3.5 1.14286
8 4.25 1.71429
8 4 1.42857
8 4 1.71429
8 4 1.42857
8 3.75 1.42857
8 3.5 1.14286
8 4 1.42857
8 4.25 1.57143
8 4.25 1.57143
8 4.25 1.57143
8 4 1.42857
8 3.75 1.71429
8 3.5 1.42857
8 4 1.42857
8 4.75 2
8 3.5 1.28571
8 3.75 1.42857
8 4.25 1.57143
8 4 1.57143
8 3.75 1.42857
8 3.75 1.28571
8 3.5 1.14286
8 3.75 1.42857
8 4.25 1.71429
8 3.5 1.57143
8 3.75 1.28571
8 3.5 1.42857
8 4 1.42857
8 3.5 1.71429
8 3.5 1.28571
8 4.75 2.71429
8 4 2
8 3.75 1.57143
8 3.75 1.28571
8 3.5 1.14286
8 3.75 1.28571
8 3.5 1.14286
9 4.22222 1.5
9 4.22222 1.5
9 3.77778 1.375
9 3.77778 1.25
9 3.77778 1.375
9 4.22222 1.625
9 3.55556 1.875
9 4 1.375
9 4 1.75
9 3.77778 2
9 4 1.375
9 4.66667 2.125
9 3.77778 1.625
9 4.22222 1.625
9 4.88889 1.875
9 4.44444 1.625
9 4.22222 1.75
9 4.44444 1.875
9 4 1.625
9 4.22222 1.625
9 4.44444 1.625
9 3.77778 1.375
9 4.22222 1.5
9 3.55556 1.5
9 3.55556 1.625
9 4.66667 2.25
9 4.22222 1.5
9 4 1.75
9 3.77778 1.375
9 4.22222 1.75
9 3.55556 1.375
9 4.22222 1.5
9 4.66667 1.75
9 3.77778 1.375
9 4.44444 1.625
9 4.22222 1.5
9 4.22222 1.75
9 4.22222 1.625
9 3.55556 1.125
9 4.22222 1.75
9 4.22222 1.5
9 3.55556 1.375
9 4.22222 2.25
9 3.55556 1.25
9 4.22222 1.625
9 4.66667 1.75
9 4.22222 1.625
9 3.77778 1.75
9 3.77778 1.25
9 3.77778 1.25
9 4.22222 1.5
9 4 1.875
9 3.77778 1.25
9 3.77778 1.375
9 4.22222 1.625
9 3.55556 1.375
9 3.77778 1.25
9 4.22222 1.75
9 4.44444 1.625
9 4.22222 1.5
9 4.44444 2.125
9 4.22222 1.5
9 4.22222 1.875
9 3.77778 1.5
9 4.88889 1.875
9 4.22222 1.5
9 3.77778 1.25
9 4 1.375
9 4.88889 2.25
9 4.22222 1.5
9 3.77778 1.375
10 4.4 1.55556
10 4.6 2.11111
10 4 1.55556
10 4.2 1.77778
10 3.6 1.77778
10 3.8 1.55556
10 3.6 1.66667
10 4 1.33333
10 4 1.77778
10 4.2 1.66667
10 4.4 1.55556
10 4 1.77778
10 4.8 2.22222
10 3.8 1.66667
10 4 1.44444
10 3.8 1.22222
10 3.6 1.33333
10 4.2 1.55556
10 4 1.88889
10 4.8 1.88889
10 4.4 1.77778
10 4.2 1.55556
10 4.2 2
10 4.4 1.55556
10 4.2 1.66667
10 4.2 1.44444
10 4 1.44444
10 4.2 1.77778
10 4 1.66667
10 4 1.33333
10 4.6 2
10 4.6 1.77778
10 3.8 1.22222
10 4.2 1.55556
10 4.2 1.66667
10 4.4 1.55556
10 4.4 2.11111
10 4.2 1.55556
10 4.2 1.55556
10 3.8 1.22222
10 4.4 1.55556
10 4 1.55556
10 4.2 1.66667
10 4.4 1.88889
10 4.2 1.88889
10 3.8 1.66667
10 4 1.33333
10 4.2 1.77778
10 4.6 1.77778
10 3.8 1.33333
10 4.2 1.66667
10 4.2 1.55556
10 3.6 1.22222
10 3.8 1.55556
10 4 1.55556
10 3.8 1.44444
10 4.4 1.77778
10 3.6 1.22222
10 4.8 2.33333
10 3.8 1.33333
10 4.2 1.55556
10 4.2 1.88889
10 4 1.66667
10 4.4 1.77778
10 4.2 1.44444
10 4.4 1.55556
10 3.8 1.22222
10 4 1.55556
10 4.6 2.44444
10 4 1.66667
10 4.2 2.11111
10 3.6 1.22222
10 4.6 1.88889
10 4 1.55556
10 4 1.33333
10 3.8 1.44444
10 3.8 1.33333
10 4.2 1.55556
10 4.4 1.55556
10 3.8 1.55556
10 4 1.33333
10 4.2 1.66667
11 4 1.4
11 4.36364 1.7
11 4.72727 1.7
11 4.36364 1.7
11 5.45455 3
11 4.36364 1.5
11 4.36364 1.8
11 4.36364 2
11 4.36364 1.8
11 5.09091 2
11 4.18182 1.6
11 4.72727 1.7
11 3.81818 1.3
11 4.72727 1.8
11 4 1.3
11 5.09091 1.9
11 4.36364 1.8
11 4.54545 1.8
11 4.36364 1.7
11 4 1.7
11 4 1.4
11 4.18182 1.5
11 5.27273 2.4
11 3.81818 1.6
11 4 1.7
11 4 1.6
11 4 1.5
11 4 1.9
11 4 1.5
11 4 1.7
11 4.36364 1.6
11 4.36364 1.8
11 4.36364 2.3
11 4.72727 2.1
11 4 1.5
11 4 1.3
11 4 1.6
11 4.36364 2
11 3.81818 1.6
11 4.36364 1.5
11 3.81818 1.4
11 4.36364 1.6
11 4 1.5
11 4 1.3
11 4.36364 1.5
11 4.18182 1.7
11 4.54545 2.1
11 4 1.5
11 3.81818 1.7
11 4.18182 1.4
11 4.36364 2.1
11 4.36364 1.7
11 4.18182 1.6
11 3.81818 1.5
11 4.90909 1.8
11 4.72727 2.2
11 4.18182 1.7
