"vertices" "degree_2nd_moment" "mean_length"
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
2 1 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1.5
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1.5
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1.5
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1.5
3 2 1
3 2 1.5
3 2 1.5
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1.5
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1.5
3 2 1
3 2 1
3 2 1.5
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1.5
3 2 1
3 2 1.5
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1.5
3 2 1.5
3 2 1.5
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
3 2 1
4 2.5 1
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1
4 3 1.33333
4 3 1.33333
4 2.5 1
4 3 1.33333
4 2.5 1
4 2.5 1
4 2.5 1
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 2
4 2.5 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 2
4 2.5 1
4 3 1.33333
4 3 1.33333
4 2.5 1
4 3 1.33333
4 2.5 1
4 3 1.33333
4 3 1.33333
4 2.5 1
4 3 1.33333
4 2.5 1
4 2.5 1.66667
4 3 1.33333
4 2.5 1
4 3 1.33333
4 2.5 1
4 3 1.33333
4 2.5 1
4 3 1.33333
4 2.5 1
4 2.5 1.66667
4 3 1.33333
4 3 1.33333
4 2.5 1
4 3 1.33333
4 3 1.33333
4 2.5 1
4 3 1.33333
4 3 1.33333
4 2.5 1
4 3 1.33333
4 3 1.33333
4 2.5 1
4 3 1.33333
4 2.5 1
4 3 1.33333
4 2.5 1.33333
4 3 1.33333
4 2.5 1
4 2.5 1.33333
4 3 1.33333
4 3 2
4 2.5 1
4 2.5 1
4 2.5 1
4 2.5 1
4 3 1.33333
4 2.5 1
4 2.5 1
4 3 1.33333
4 2.5 1
4 2.5 1
4 2.5 1
4 2.5 1
4 2.5 1
4 2.5 1
4 2.5 1
4 2.5 1
4 3 1.33333
4 3 1.33333
4 2.5 1
4 3 2
4 3 1.33333
4 3 1.33333
4 2.5 1
4 3 1.33333
4 2.5 1
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1
4 2.5 1
4 3 1.33333
4 2.5 1
4 3 1.33333
4 2.5 1
4 2.5 1
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1
4 3 1.33333
4 2.5 1
4 3 1.33333
4 2.5 1
4 3 1.33333
4 2.5 1
4 2.5 1
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1
4 2.5 1
4 2.5 1.33333
4 3 1.33333
4 2.5 1
4 3 1.33333
4 2.5 1.33333
4 2.5 1
4 2.5 1
4 2.5 1
4 3 1.33333
4 2.5 1
4 3 1.33333
4 3 1.33333
4 2.5 1.66667
4 2.5 1
4 3 1.33333
4 2.5 1
4 2.5 1
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1.33333
4 2.5 1
4 2.5 1
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1
4 2.5 1
4 3 1.33333
4 3 1.33333
4 2.5 1
4 2.5 1
4 2.5 1
4 3 1.33333
4 2.5 1
4 3 1.33333
4 2.5 1.66667
4 2.5 1
4 2.5 1
4 2.5 1
4 3 1.33333
4 2.5 1
4 2.5 1
4 2.5 1
4 3 1.33333
4 2.5 1
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1.66667
4 2.5 1.33333
4 2.5 1
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1
4 2.5 1
4 2.5 1
4 2.5 1
4 3 1.33333
4 2.5 1
4 2.5 1
4 2.5 1
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 2
4 3 2
4 2.5 1
4 3 1.33333
4 3 1.33333
4 2.5 1.66667
4 2.5 1
4 3 1.33333
4 2.5 1
4 3 1.33333
4 2.5 1
4 2.5 1
4 3 2
4 2.5 1.66667
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1.66667
4 2.5 1
4 2.5 1
4 3 1.33333
4 2.5 1
4 2.5 1
4 3 1.33333
4 3 1.33333
4 2.5 1
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1
4 2.5 1
4 2.5 1
4 2.5 1
4 2.5 1
4 2.5 1
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1.33333
4 3 1.33333
4 2.5 1
4 3 1.33333
4 2.5 1.33333
4 2.5 1
4 2.5 1
4 3 1.33333
4 2.5 1
4 2.5 1
4 2.5 1
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1
4 2.5 1
4 2.5 1
4 3 1.33333
4 2.5 1
4 3 1.33333
4 2.5 1
4 2.5 1
4 3 1.33333
4 3 1.33333
4 2.5 1
4 2.5 1.33333
4 2.5 1
4 3 1.33333
4 2.5 1.33333
4 2.5 1
4 2.5 1.33333
4 2.5 1.33333
4 3 1.33333
4 2.5 1
4 2.5 1
4 2.5 1
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 3 1.33333
4 2.5 1
4 3 1.33333
4 3 1.33333
4 2.5 1
4 3 1.33333
4 2.5 1
4 3 1.33333
4 3 1.33333
4 3 2
4 2.5 1
4 2.5 1
4 2.5 1
4 3 1.33333
4 3 1.33333
4 2.5 1
4 2.5 1.33333
