"Language","File","processed_file","N","mean_n","sigma_n","mean_x","sigma_x","sentences_filtered"
"Arabic","./data/dependency_tree_metrics/Arabic_dependency_tree_metrics.txt","./data/processed_dependency_tree_metrics/Arabic_dependency_tree_metrics.txt","4099","26.9970724566968","20.6547295745862","4.16225950231764","1.27556309596306","9"
"Basque","./data/dependency_tree_metrics/Basque_dependency_tree_metrics.txt","./data/processed_dependency_tree_metrics/Basque_dependency_tree_metrics.txt","2932","11.3362892223738","6.52921468714439","4.1436122271487","1.08921448850159","1"
"Catalan","./data/dependency_tree_metrics/Catalan_dependency_tree_metrics.txt","./data/processed_dependency_tree_metrics/Catalan_dependency_tree_metrics.txt","15052","25.5728142439543","13.618483951909","4.96189963659314","0.823682486708347","1"
"Chinese","./data/dependency_tree_metrics/Chinese_dependency_tree_metrics.txt","./data/processed_dependency_tree_metrics/Chinese_dependency_tree_metrics.txt","54198","6.24685412745858","3.31078753011644","3.21799980091516","1.06650128365954","40"
"Czech","./data/dependency_tree_metrics/Czech_dependency_tree_metrics.txt","./data/processed_dependency_tree_metrics/Czech_dependency_tree_metrics.txt","25015","16.4340195882471","10.7241013803947","4.29355744513292","1.29905993505689","22"
"English","./data/dependency_tree_metrics/English_dependency_tree_metrics.txt","./data/processed_dependency_tree_metrics/English_dependency_tree_metrics.txt","18779","24.0462218435486","11.2232163733063","5.17014968581927","0.802290792911478","0"
"Greek","./data/dependency_tree_metrics/Greek_dependency_tree_metrics.txt","./data/processed_dependency_tree_metrics/Greek_dependency_tree_metrics.txt","2951","22.8203998644527","14.3818955391034","4.59974721789224","1.07006437820311","0"
"Hungarian","./data/dependency_tree_metrics/Hungarian_dependency_tree_metrics.txt","./data/processed_dependency_tree_metrics/Hungarian_dependency_tree_metrics.txt","6424","21.6598692403487","12.5664344768772","5.95570869084682","1.70580376750788","0"
"Italian","./data/dependency_tree_metrics/Italian_dependency_tree_metrics.txt","./data/processed_dependency_tree_metrics/Italian_dependency_tree_metrics.txt","4142","18.4111540318687","13.3473536145156","4.34093531868662","1.17066933404879","2"
"Turkish","./data/dependency_tree_metrics/Turkish_dependency_tree_metrics.txt","./data/processed_dependency_tree_metrics/Turkish_dependency_tree_metrics.txt","6016","11.1042220744681","8.29026262093515","3.75996113530585","0.934991906857844","14"
